nom,groupe_sigle,commission_permanente,fonction,assemblee_nationale_email
Julien Dive,LR,Affaires économiques,Membre,julien.dive@assemblee-nationale.fr
David Habib,NI,Finances de l’économie générale et du contrôle budgétaire,Membre,david.habib@assemblee-nationale.fr
Xavier Breton,LR,Lois,Secrétaire,xavier.breton@assemblee-nationale.fr
Franck Riester,REN,Défense nationale et forces armées,Membre,franck.riester@assemblee-nationale.fr
Olivier Marleix,LR,Lois,Membre,olivier.marleix@assemblee-nationale.fr
Cécile Untermaier,SOC,Lois,Membre,cecile.untermaier@assemblee-nationale.fr
Damien Abad,REN,Finances de l’économie générale et du contrôle budgétaire,Membre,damien.abad@assemblee-nationale.fr
Véronique Louwagie,LR,Finances de l’économie générale et du contrôle budgétaire,Membre,veronique.louwagie@assemblee-nationale.fr
Patrick Vignal,REN,Affaires culturelles et de l'éducation,Membre,patrick.vignal@assemblee-nationale.fr
Gérald Darmanin,REN,,,gerald.darmanin@assemblee-nationale.fr
Paul Molac,LIOT,Lois,Membre,paul.molac@assemblee-nationale.fr
Olivier Falorni,NI,Affaires économiques,Membre,olivier.falorni@assemblee-nationale.fr
Eva Sas,ECO,Finances,VP,eva.sas@assemblee-nationale.fr
Dominique Potier,SOC,Affaires économiques,Membre,dominique.potier@assemblee-nationale.fr
Nicolas Sansu,GDR,Finances,Membre,nicolas.sansu@assemblee-nationale.fr
Laurent Marcangeli,HOR,Finances,Membre,laurent.marcangeli@assemblee-nationale.fr
Stéphane Travert,REN,Défense nationale et forces armées,Membre,stephane.travert@assemblee-nationale.fr
Jean-Philippe Nilor,LFI,Affaires sociales,Membre,jean-philippe.nilor@assemblee-nationale.fr
Éric Alauzet,REN,Développement durable et aménagement du territoire,Membre,eric.alauzet@assemblee-nationale.fr
Jean-Pierre Vigier,LR,Affaires économiques,Membre,jean-pierre.vigier@assemblee-nationale.fr
Annie Genevard,LR,Affaires culturelles et de l'éducation,Membre,annie.genevard@assemblee-nationale.fr
Olivier Faure,SOC,Défense nationale et forces armées,Membre,olivier.faure@assemblee-nationale.fr
Valérie Rabault,SOC,Finances de l’économie générale et du contrôle budgétaire,Membre,valerie.rabault@assemblee-nationale.fr
Sophie Errante,REN,Finances de l’économie générale et du contrôle budgétaire,Membre,sophie.errante@assemblee-nationale.fr
Florent Boudié,REN,Lois,Membre,florent.boudie@assemblee-nationale.fr
Christine Pires Beaune,SOC,Finances de l’économie générale et du contrôle budgétaire,Secrétaire,christine.piresbeaune@assemblee-nationale.fr
Jean-Louis Bricout,NI,Finances de l’économie générale et du contrôle budgétaire,Membre,jean-louis.bricout@assemblee-nationale.fr
Barbara Pompili,REN,Développement durable et aménagement du territoire,Présidente,barbara.pompili@assemblee-nationale.fr
Virginie Duby-Muller,LR,Affaires culturelles et de l'éducation,Membre,virginie.duby-muller@assemblee-nationale.fr
Patrick Hetzel,LR,Finances de l’économie générale et du contrôle budgétaire,Membre,patrick.hetzel@assemblee-nationale.fr
Olivier Véran,REN,Affaires sociales,Rapporteur Général,olivier.veran@assemblee-nationale.fr
Jérôme Guedj,SOC,,,jerome.guedj@assemblee-nationale.fr
Meyer Habib,LR,Affaires étrangères,Vice-président,meyer.habib@assemblee-nationale.fr
Joël Aviragnet,SOC,Affaires sociales,Membre,joel.aviragnet@assemblee-nationale.fr
Philippe Naillet,SOC,,,philippe.naillet@assemblee-nationale.fr
Éric Bothorel,REN,Affaires économiques,Membre,eric.bothorel@assemblee-nationale.fr
Nadia Hai,REN,Finances de l’économie générale et du contrôle budgétaire,Secrétaire,nadia.hai@assemblee-nationale.fr
Guillaume Kasbarian,REN,Affaires économiques,Membre,guillaume.kasbarian@assemblee-nationale.fr
Cyrille Isaac-Sibille,MODEM,Affaires sociales,Secrétaire,cyrille.isaac-sibille@assemblee-nationale.fr
Guillaume Vuilletet,REN,Lois,Membre,guillaume.vuilletet@assemblee-nationale.fr
Emmanuelle Anthoine,LR,Affaires culturelles et de l'éducation,Membre,emmanuelle.anthoine@assemblee-nationale.fr
Laurence Vichnievsky,MODEM,Finances de l’économie générale et du contrôle budgétaire,Membre,laurence.vichnievsky@assemblee-nationale.fr
Annaïg Le Meur,REN,Affaires économiques,Membre,annaig.lemeur@assemblee-nationale.fr
Jean-Paul Lecoq,GDR,Affaires étrangères,Membre,jean-paul.lecoq@assemblee-nationale.fr
Bertrand Sorre,REN,Affaires culturelles et de l'éducation,Membre,bertrand.sorre@assemblee-nationale.fr
Aurore Bergé,REN,Affaires culturelles et de l'éducation,Membre,aurore.berge@assemblee-nationale.fr
Jean-Marc Zulesi,REN,Développement durable et aménagement du territoire,Membre,jean-marc.zulesi@assemblee-nationale.fr
Fabrice Le Vigoureux,REN,Finances de l’économie générale et du contrôle budgétaire,Membre,fabrice.levigoureux@assemblee-nationale.fr
Mohamed Laqhila,MODEM,Finances de l’économie générale et du contrôle budgétaire,Membre,mohamed.laqhila@assemblee-nationale.fr
Loïc Kervran,HOR,Défense nationale et forces armées,Membre,loic.kervran@assemblee-nationale.fr
Géraldine Bannier,MODEM,Affaires culturelles et de l'éducation,Membre,geraldine.bannier@assemblee-nationale.fr
Caroline Abadie,REN,Lois,Secrétaire,caroline.abadie@assemblee-nationale.fr
Pierre Vatin,LR,Développement durable et aménagement du territoire,Membre,pierre.vatin@assemblee-nationale.fr
Claire Pitollat,REN,Affaires sociales,Membre,claire.pitollat@assemblee-nationale.fr
Cécile Rilhac,REN,Affaires culturelles et de l'éducation,Membre,cecile.rilhac@assemblee-nationale.fr
Vincent Descoeur,LR,Développement durable et aménagement du territoire,Membre,vincent.descoeur@assemblee-nationale.fr
Philippe Latombe,MODEM,Lois,Membre,philippe.latombe@assemblee-nationale.fr
Thibault Bazin,LR,Défense nationale et forces armées,Membre,thibault.bazin@assemblee-nationale.fr
Denis Masséglia,REN,Affaires étrangères,Membre,denis.masseglia@assemblee-nationale.fr
Richard Ramos,MODEM,Affaires économiques,Membre,richard.ramos@assemblee-nationale.fr
Raphaël Schellenberger,LR,Lois,Membre,raphael.schellenberger@assemblee-nationale.fr
Sacha Houlié,REN,Lois,Membre,sacha.houlie@assemblee-nationale.fr
Carole Grandjean,REN,Affaires sociales,Membre,carole.grandjean@assemblee-nationale.fr
Boris Vallaud,SOC,Affaires sociales,Membre,boris.vallaud@assemblee-nationale.fr
Didier Paris,REN,Lois,Membre,didier.paris@assemblee-nationale.fr
Sandrine Le Feur,REN,Développement durable et aménagement du territoire,Membre,sandrine.lefeur@assemblee-nationale.fr
Alain David,SOC,Affaires étrangères,Secrétaire,alain.david@assemblee-nationale.fr
Marie-Pierre Rixain,REN,Affaires culturelles et de l'éducation,Membre,marie-pierre.rixain@assemblee-nationale.fr
Constance Le Grip,REN,Affaires culturelles et de l'éducation,Vice-présidente,constance.legrip@assemblee-nationale.fr
Emmanuelle Ménard,NI,Lois,Membre,emmanuelle.menard@assemblee-nationale.fr
Frédérique Meunier,LR,Affaires culturelles et de l'éducation,Membre,frederique.meunier@assemblee-nationale.fr
Sébastien Jumel,GDR,Affaires économiques,Membre,sebastien.jumel@assemblee-nationale.fr
Jean-Noël Barrot,MODEM,Finances de l’économie générale et du contrôle budgétaire,Vice-président,jean-noel.barrot@assemblee-nationale.fr
Olivier Serva,LIOT,Finances de l’économie générale et du contrôle budgétaire,Membre,olivier.serva@assemblee-nationale.fr
Ian Boucard,LR,Affaires culturelles et de l'éducation,Membre,ian.boucard@assemblee-nationale.fr
Amélia Lakrafi,REN,Affaires étrangères,Membre,amelia.lakrafi@assemblee-nationale.fr
Jean-Paul Mattei,MODEM,Finances de l’économie générale et du contrôle budgétaire,Membre,jean-paul.mattei@assemblee-nationale.fr
Christophe Naegelen,LIOT,Affaires étrangères,Membre,christophe.naegelen@assemblee-nationale.fr
Maud Petit,MODEM,Affaires culturelles et de l'éducation,Membre,maud.petit@assemblee-nationale.fr
Pierre-Henri Dumont,LR,Affaires étrangères,Membre,pierre-henri.dumont@assemblee-nationale.fr
Jean-Jacques Gaultier,LR,Affaires culturelles et de l'éducation,Membre,jean-jacques.gaultier@assemblee-nationale.fr
Bruno Millienne,MODEM,Développement durable et aménagement du territoire,Membre,bruno.millienne@assemblee-nationale.fr
Hervé Saulignac,SOC,Lois,Membre,herve.saulignac@assemblee-nationale.fr
Nicolas Forissier,LR,Finances de l’économie générale et du contrôle budgétaire,Membre,nicolas.forissier@assemblee-nationale.fr
Graziella Melchior,REN,Affaires économiques,Secrétaire,graziella.melchior@assemblee-nationale.fr
Geneviève Darrieussecq,MODEM,Défense nationale et forces armées,Membre,genevieve.darrieussecq@assemblee-nationale.fr
Fadila Khattabi,REN,Affaires sociales,Vice-présidente,fadila.khattabi@assemblee-nationale.fr
Sarah El Haïry,MODEM,Lois,Membre,sarah.elhairy@assemblee-nationale.fr
Isabelle Valentin,LR,Affaires sociales,Membre,isabelle.valentin@assemblee-nationale.fr
Michel Lauzzana,REN,Finances de l’économie générale et du contrôle budgétaire,Membre,michel.lauzzana@assemblee-nationale.fr
Stanislas Guerini,REN,Défense nationale et forces armées,Membre,stanislas.guerini@assemblee-nationale.fr
Jean-Carles Grelier,REN,Affaires sociales,Membre,jean-carles.grelier@assemblee-nationale.fr
Jean-René Cazeneuve,REN,Finances de l’économie générale et du contrôle budgétaire,Membre,jean-rene.cazeneuve@assemblee-nationale.fr
Belkhir Belhaddad,REN,Affaires sociales,Membre,belkhir.belhaddad@assemblee-nationale.fr
Jean-François Portarrieu,HOR,Affaires étrangères,Membre,jean-francois.portarrieu@assemblee-nationale.fr
Robin Reda,REN,Finances de l’économie générale et du contrôle budgétaire,Membre,robin.reda@assemblee-nationale.fr
Marie Lebec,REN,Affaires économiques,Membre,marie.lebec@assemblee-nationale.fr
Caroline Fiat,LFI,Affaires sociales,Membre,caroline.fiat@assemblee-nationale.fr
Jean-Louis Bourlanges,MODEM,Affaires étrangères,Membre,jean-louis.bourlanges@assemblee-nationale.fr
Annie Vidal,REN,Affaires sociales,Membre,annie.vidal@assemblee-nationale.fr
Brigitte Liso,REN,Affaires étrangères,Membre,brigitte.liso@assemblee-nationale.fr
Sébastien Chenu,RN,Affaires sociales,Membre,sebastien.chenu@assemblee-nationale.fr
Bertrand Bouyx,REN,Affaires culturelles et de l'éducation,Membre,bertrand.bouyx@assemblee-nationale.fr
Jean Terlier,REN,Lois,Membre,jean.terlier@assemblee-nationale.fr
Danielle Brulebois,REN,Développement durable et aménagement du territoire,Membre,danielle.brulebois@assemblee-nationale.fr
Ludovic Mendes,REN,Lois,Membre,ludovic.mendes@assemblee-nationale.fr
Nicolas Turquois,MODEM,Affaires économiques,Membre,nicolas.turquois@assemblee-nationale.fr
Aurélien Taché,ECO,Affaires sociales,Membre,aurelien.tache@assemblee-nationale.fr
Blandine Brocard,MODEM,Affaires sociales,Membre,blandine.brocard@assemblee-nationale.fr
François Jolivet,HOR,Finances de l’économie générale et du contrôle budgétaire,Membre,francois.jolivet@assemblee-nationale.fr
Guy Bricout,LIOT,Développement durable et aménagement du territoire,Membre,guy.bricout@assemblee-nationale.fr
Pierre Cordier,LR,Affaires étrangères,Membre,pierre.cordier@assemblee-nationale.fr
Élodie Jacquier-Laforge,MODEM,Lois,Membre,elodie.jacquier-laforge@assemblee-nationale.fr
Bastien Lachaud,LFI,Défense nationale et forces armées,Membre,bastien.lachaud@assemblee-nationale.fr
Frédéric Petit,MODEM,Affaires étrangères,Membre,frederic.petit@assemblee-nationale.fr
Thomas Gassilloud,REN,Défense nationale et forces armées,Membre,thomas.gassilloud@assemblee-nationale.fr
Hubert Wulfranc,GDR,Développement durable et aménagement du territoire,Membre,hubert.wulfranc@assemblee-nationale.fr
Didier Le Gac,REN,Défense nationale et forces armées,Membre,didier.legac@assemblee-nationale.fr
Nathalie Bassire,LIOT,Développement durable et aménagement du territoire,Membre,nathalie.bassire@assemblee-nationale.fr
Valérie Bazin-Malgras,LR,Affaires culturelles et de l'éducation,Membre,valerie.bazin-malgras@assemblee-nationale.fr
Sandrine Josso,MODEM,Affaires culturelles et de l'éducation,Membre,sandrine.josso@assemblee-nationale.fr
Marie Guévenoux,REN,Lois,Membre,marie.guevenoux@assemblee-nationale.fr
Guillaume Gouffier-Cha,REN,Lois,Membre,guillaume.gouffier-cha@assemblee-nationale.fr
Michel Castellani,LIOT,Finances de l’économie générale et du contrôle budgétaire,Membre,michel.castellani@assemblee-nationale.fr
Damien Adam,REN,Affaires économiques,Membre,damien.adam@assemblee-nationale.fr
Christophe Blanchet,MODEM,Défense nationale et forces armées,Membre,christophe.blanchet@assemblee-nationale.fr
Philippe Dunoyer,REN,Lois,Membre,philippe.dunoyer@assemblee-nationale.fr
Sylvain Maillard,REN,Affaires sociales,Membre,sylvain.maillard@assemblee-nationale.fr
Caroline Janvier,REN,Affaires sociales,Membre,caroline.janvier@assemblee-nationale.fr
Sophie Panonacle,REN,Développement durable et aménagement du territoire,Membre,sophie.panonacle@assemblee-nationale.fr
Éric Girardin,REN,Affaires étrangères,membre,eric.girardin@assemblee-nationale.fr
Marine Le Pen,RN,Finances de l’économie générale et du contrôle budgétaire,Membre,marine.lepen@assemblee-nationale.fr
Nicole Dubré-Chirat,REN,Lois,Membre,nicole.dubre-chirat@assemblee-nationale.fr
François Ruffin,LFI,Affaires économiques,Secrétaire,francois.ruffin@assemblee-nationale.fr
Corinne Vignon,REN,Affaires sociales,Membre,corinne.vignon@assemblee-nationale.fr
Lise Magnier,HOR,Finances de l’économie générale et du contrôle budgétaire,Membre,lise.magnier@assemblee-nationale.fr
Ugo Bernalicis,LFI,Lois,Membre,ugo.bernalicis@assemblee-nationale.fr
François Cormier-Bouligeon,REN,Affaires culturelles et de l'éducation,Membre,francois.cormier-bouligeon@assemblee-nationale.fr
Michèle Peyron,REN,Affaires sociales,Secrétaire,michele.peyron@assemblee-nationale.fr
Véronique Riotton,REN,Développement durable et aménagement du territoire,Membre,veronique.riotton@assemblee-nationale.fr
Philippe Berta,MODEM,Affaires culturelles et de l'éducation,Membre,philippe.berta@assemblee-nationale.fr
Patricia Mirallès,REN,Défense nationale et forces armées,Vice-présidente,patricia.miralles@assemblee-nationale.fr
Marc Fesneau,MODEM,Défense nationale et forces armées,Membre,marc.fesneau@assemblee-nationale.fr
Roland Lescure,REN,Affaires économiques,Président,roland.lescure@assemblee-nationale.fr
Charlotte Parmentier-Lecocq,REN,Affaires sociales,Secrétaire,charlotte.lecocq@assemblee-nationale.fr
Agnès Firmin Le Bodo,HOR,Affaires sociales,Membre,agnes.firminlebodo@assemblee-nationale.fr
Fabienne Colboc,REN,Affaires culturelles et de l'éducation,Membre,fabienne.colboc@assemblee-nationale.fr
Didier Martin,REN,Affaires économiques,Membre,didier.martin@assemblee-nationale.fr
Aude Luquet,MODEM,Affaires économiques,Membre,aude.luquet@assemblee-nationale.fr
Jean-Luc Fugit,REN,Développement durable et aménagement du territoire,Secrétaire,jean-luc.fugit@assemblee-nationale.fr
Hervé Berville,REN,Affaires étrangères,Membre,herve.berville@assemblee-nationale.fr
Yaël Braun-Pivet,REN,Lois,Présidente,yael.braun-pivet@assemblee-nationale.fr
Jimmy Pahun,MODEM,Développement durable et aménagement du territoire,Membre,jimmy.pahun@assemblee-nationale.fr
Olivier Becht,REN,Défense nationale et forces armées,Membre,olivier.becht@assemblee-nationale.fr
Sabine Thillaye,MODEM,Défense nationale et forces armées,Membre,sabine.thillaye@assemblee-nationale.fr
Vincent Thiébaut,HOR,Développement durable et aménagement du territoire,Membre,vincent.thiebaut@assemblee-nationale.fr
Jean-Pierre Pont,REN,Lois,Membre,jean-pierre.pont@assemblee-nationale.fr
Gabriel Attal,REN,Affaires culturelles et de l'éducation,Membre,gabriel.attal@assemblee-nationale.fr
Jean-Yves Bony,LR,Développement durable et aménagement du territoire,Membre,jean-yves.bony@assemblee-nationale.fr
Raphaël Gérard,REN,Affaires culturelles et de l'éducation,Membre,raphael.gerard@assemblee-nationale.fr
Bruno Bilde,RN,Affaires culturelles et de l'éducation,Membre,bruno.bilde@assemblee-nationale.fr
Éric Coquerel,LFI,Finances de l’économie générale et du contrôle budgétaire,Membre,eric.coquerel@assemblee-nationale.fr
Jean-Michel Jacques,REN,Défense nationale et forces armées,Vice-président,jean-michel.jacques@assemblee-nationale.fr
Thomas Rudigoz,REN,Lois,Membre,thomas.rudigoz@assemblee-nationale.fr
Jean-Charles Larsonneur,HOR,Défense nationale et forces armées,Membre,jean-charles.larsonneur@assemblee-nationale.fr
Erwan Balanant,MODEM,Lois,Membre,erwan.balanant@assemblee-nationale.fr
Emmanuel Maquet,LR,Développement durable et aménagement du territoire,Membre,emmanuel.maquet@assemblee-nationale.fr
Stéphane Peu,GDR,Lois,Membre,stephane.peu@assemblee-nationale.fr
Fabien Di Filippo,LR,Affaires économiques,Membre,fabien.difilippo@assemblee-nationale.fr
Paul-André Colombani,LIOT,Développement durable et aménagement du territoire,Membre,paul-andre.colombani@assemblee-nationale.fr
Fabien Roussel,GDR,Finances de l’économie générale et du contrôle budgétaire,Membre,fabien.roussel@assemblee-nationale.fr
Gilles Le Gendre,REN,Défense nationale et forces armées,Membre,gilles.le.gendre@assemblee-nationale.fr
Christine Le Nabour,REN,Affaires sociales,Membre,christine.lenabour@assemblee-nationale.fr
Mathilde Panot,LFI,Développement durable et aménagement du territoire,Membre,mathilde.panot@assemblee-nationale.fr
Alexandre Holroyd,REN,Finances de l’économie générale et du contrôle budgétaire,Membre,alexandre.holroyd@assemblee-nationale.fr
Marjolaine Meynier-Millefert,REN,Développement durable et aménagement du territoire,Membre,marjolaine.meynier-millefert@assemblee-nationale.fr
Yannick Haury,REN,Développement durable et aménagement du territoire,Membre,yannick.haury@assemblee-nationale.fr
Josy Poueyto,MODEM,Défense nationale et forces armées,Membre,josy.poueyto@assemblee-nationale.fr
Philippe Bolo,MODEM,Développement durable et aménagement du territoire,Membre,philippe.bolo@assemblee-nationale.fr
Patrice Perrot,REN,Développement durable et aménagement du territoire,Membre,patrice.perrot@assemblee-nationale.fr
Pierre Dharréville,GDR,Affaires sociales,Membre,pierre.dharreville@assemblee-nationale.fr
Stéphanie Rist,REN,Affaires sociales,Membre,stephanie.rist@assemblee-nationale.fr
Daniel Labaronne,REN,Finances de l’économie générale et du contrôle budgétaire,Vice-président,daniel.labaronne@assemblee-nationale.fr
Lionel Causse,REN,Développement durable et aménagement du territoire,Membre,lionel.causse@assemblee-nationale.fr
Aurélien Pradié,LR,Lois,Membre,aurelien.pradie@assemblee-nationale.fr
Isabelle Rauch,HOR,Affaires étrangères,Vice-présidente,isabelle.rauch@assemblee-nationale.fr
Paul Christophe,HOR,Affaires sociales,Membre,paul.christophe@assemblee-nationale.fr
Olivia Grégoire,REN,Finances de l’économie générale et du contrôle budgétaire,Vice-présidente,olivia.gregoire@assemblee-nationale.fr
Naïma Moutchou,HOR,Lois,Membre,naima.moutchou@assemblee-nationale.fr
Bérangère Couillard,REN,Développement durable et aménagement du territoire,Membre,berangere.couillard@assemblee-nationale.fr
Éric Poulliat,REN,Affaires culturelles et de l'éducation,Membre,eric.poulliat@assemblee-nationale.fr
Alexis Corbière,LFI,Défense nationale et forces armées,Membre,alexis.corbiere@assemblee-nationale.fr
Elsa Faucillon,GDR,Affaires culturelles et de l'éducation,Membre,elsa.faucillon@assemblee-nationale.fr
Clémentine Autain,LFI,Affaires étrangères,Membre,clementine.autain@assemblee-nationale.fr
Vincent Rolland,LR,Affaires économiques,Membre,vincent.rolland@assemblee-nationale.fr
Sandra Marsaud,REN,Développement durable et aménagement du territoire,Membre,sandra.marsaud@assemblee-nationale.fr
Thomas Mesnier,HOR,Affaires sociales,Membre,thomas.mesnier@assemblee-nationale.fr
Jean-Pierre Cubertafon,MODEM,Défense nationale et forces armées,Secrétaire,jean-pierre.cubertafon@assemblee-nationale.fr
Maxime Minot,LR,Affaires culturelles et de l'éducation,Secrétaire,maxime.minot@assemblee-nationale.fr
Danièle Obono,LFI,Lois,Membre,daniele.obono@assemblee-nationale.fr
André Villiers,HOR,Affaires économiques,Membre,andre.villiers@assemblee-nationale.fr
Pascale Boyer,REN,Affaires économiques,Membre,pascale.boyer@assemblee-nationale.fr
Jean-Hugues Ratenon,LFI,Affaires sociales,Membre,jean-hugues.ratenon@assemblee-nationale.fr
Stéphane Buchou,REN,Développement durable et aménagement du territoire,Membre,stephane.buchou@assemblee-nationale.fr
Pieyre-Alexandre Anglade,REN,Lois,Membre,pieyre-alexandre.anglade@assemblee-nationale.fr
Florence Lasserre,MODEM,Développement durable et aménagement du territoire,Secrétaire,florence.lasserre@assemblee-nationale.fr
Jérôme Nury,LR,Affaires économiques,Membre,jerome.nury@assemblee-nationale.fr
Xavier Roseren,REN,Finances de l’économie générale et du contrôle budgétaire,Membre,xavier.roseren@assemblee-nationale.fr
Natalia Pouzyreff,REN,Défense nationale et forces armées,Membre,natalia.pouzyreff@assemblee-nationale.fr
Max Mathiasin,LIOT,Affaires économiques,Membre,max.mathiasin@assemblee-nationale.fr
Anne-Laurence Petel,REN,Affaires économiques,Secrétaire,anne-laurence.petel@assemblee-nationale.fr
Mansour Kamardine,LR,Lois,Membre,mansour.kamardine@assemblee-nationale.fr
Vincent Bru,MODEM,Lois,Membre,vincent.bru@assemblee-nationale.fr
Anne Genetet,REN,Affaires étrangères,Membre,anne.genetet@assemblee-nationale.fr
Pierre Henriet,REN,Affaires culturelles et de l'éducation,Membre,pierre.henriet@assemblee-nationale.fr
Adrien Quatennens,LFI,Affaires sociales,membre,adrien.quatennens@assemblee-nationale.fr
Nicole Le Peih,REN,Affaires étrangères,Membre,nicole.lepeih@assemblee-nationale.fr
Bruno Studer,REN,Affaires culturelles et de l'éducation,Président,bruno.studer@assemblee-nationale.fr
Laurence Maillart-Méhaignerie,REN,Développement durable et aménagement du territoire,Vice-Président,laurence.maillart-mehaignerie@assemblee-nationale.fr
Béatrice Piron,REN,Affaires culturelles et de l'éducation,Membre,beatrice.piron@assemblee-nationale.fr
Perrine Goulet,MODEM,Finances de l’économie générale et du contrôle budgétaire,Membre,perrine.goulet@assemblee-nationale.fr
Jean-Félix Acquaviva,LIOT,Lois,Membre,jean-felix.acquaviva@assemblee-nationale.fr
Xavier Batut,REN,Défense nationale et forces armées,Membre,xavier.batut@assemblee-nationale.fr
Bénédicte Taurine,LFI,Affaires économiques,Membre,benedicte.taurine@assemblee-nationale.fr
Anne Brugnera,REN,Affaires culturelles et de l'éducation,Membre,anne.brugnera@assemblee-nationale.fr
Olga Givernet,REN,Affaires étrangères,Membre,olga.givernet@assemblee-nationale.fr
Fabrice Brun,LR,Finances de l’économie générale et du contrôle budgétaire,Membre,fabrice.brun@assemblee-nationale.fr
Josiane Corneloup,LR,Affaires sociales,Membre,josiane.corneloup@assemblee-nationale.fr
Benjamin Dirx,REN,Finances de l’économie générale et du contrôle budgétaire,Secrétaire,benjamin.dirx@assemblee-nationale.fr
Stella Dupont,REN,Finances de l’économie générale et du contrôle budgétaire,Membre,stella.dupont@assemblee-nationale.fr
Huguette Tiegna,REN,Affaires économiques,Membre,huguette.tiegna@assemblee-nationale.fr
Hubert Julien-Laferrière,ECO,Affaires étrangères,Membre,hubert.julien-laferriere@assemblee-nationale.fr
Bruno Fuchs,MODEM,Affaires culturelles et de l'éducation,Membre,bruno.fuchs@assemblee-nationale.fr
Sophie Mette,MODEM,Affaires culturelles et de l'éducation,Membre,sophie.mette@assemblee-nationale.fr
Loïc Prud'homme,LFI,Développement durable et aménagement du territoire,Membre,loic.prudhomme@assemblee-nationale.fr
Céline Calvez,REN,Affaires culturelles et de l'éducation,Membre,celine.calvez@assemblee-nationale.fr
Émilie Bonnivard,LR,Finances de l’économie générale et du contrôle budgétaire,Membre,emilie.bonnivard@assemblee-nationale.fr
Liliana Tanguy,REN,Affaires étrangères,Membre,liliana.tanguy@assemblee-nationale.fr
Stéphane Viry,LR,Affaires sociales,Membre,stephane.viry@assemblee-nationale.fr
Dominique Da Silva,REN,Affaires sociales,Membre,dominique.dasilva@assemblee-nationale.fr
Jean-Marie Fiévet,REN,Défense nationale et forces armées,Secrétaire,jean-marie.fievet@assemblee-nationale.fr
Frédéric Descrozaille,REN,Affaires économiques,Membre,frederic.descrozaille@assemblee-nationale.fr
Laetitia Saint-Paul,REN,Affaires étrangères,Membre,laetitia.saint-paul@assemblee-nationale.fr
Béatrice Descamps,LIOT,Affaires culturelles et de l'éducation,Membre,beatrice.descamps@assemblee-nationale.fr
Moetai Brotherson,GDR,Affaires étrangères,Membre,moetai.brotherson@assemblee-nationale.fr
Jean-Philippe Ardouin,REN,Défense nationale et forces armées,Membre,jean-philippe.ardouin@assemblee-nationale.fr
Stéphane Mazars,REN,Lois,Vice-président,stephane.mazars@assemblee-nationale.fr
Mireille Clapot,REN,Affaires étrangères,Membre,mireille.clapot@assemblee-nationale.fr
Rémy Rebeyrotte,REN,Lois,Membre,remy.rebeyrotte@assemblee-nationale.fr
Éric Pauget,LR,Affaires économiques,Membre,eric.pauget@assemblee-nationale.fr
Marie-France Lorho,RN,Lois,Membre,marie-france.lorho@assemblee-nationale.fr
